"","SRR12885679","SRR12885688","SRR12885709","SRR12885579","SRR12885580","SRR12885581"
"ENSG00000183091",280,412,481,1,1,1
"ENSG00000183092",200,1224,961,1,1,1
"ENSG00000183098",1681,2728,2771,1,1,1
"ENSG00000183111",2548,5991,696,1,1,1
"ENSG00000183114",5,1,6,1,1,1
"ENSG00000183117",46,86,105,1,1,1
"ENSG00000183122",1,1,1,1,1,1
"ENSG00000183128",1,7,3,1,1,1
"ENSG00000183134",1446,919,211,1,1,1
"ENSG00000183137",1066,1289,700,1,1,1
"ENSG00000183145",67,252,3,1,1,1
"ENSG00000183146",1,1,1,1,1,1
"ENSG00000183148",1,1,1,1,1,1
"ENSG00000183150",816,306,822,1,1,1
"ENSG00000183153",54,162,31,1,1,1
"ENSG00000183154",16,74,28,1,1,1
"ENSG00000183155",1373,1374,2303,1,1,1
"ENSG00000183160",138,411,144,1,1,1
"ENSG00000183161",3208,2122,817,1,1,1
"ENSG00000183166",19,59,3,1,1,1
"ENSG00000183169",1,1,1,1,1,1
"ENSG00000183171",18,11,52,1,1,1
"ENSG00000183172",4780,4076,4039,1,1,1
"ENSG00000183185",16,5,1,1,1,1
"ENSG00000183186",35,15,68,1,1,1
"ENSG00000183196",32,25,43,1,1,1
"ENSG00000183199",550,689,1118,1,1,1
"ENSG00000183206",1,1,1,1,1,1
"ENSG00000183207",2053,1828,1641,1,1,1
"ENSG00000183208",228,106,78,1,1,1
"ENSG00000183230",361,181,21,1,1,1
"ENSG00000183239",1,2,2,1,1,1
"ENSG00000183242",1,1,7,1,1,1
"ENSG00000183246",1,1,1,1,1,1
"ENSG00000183248",628,1111,328,1,1,1
"ENSG00000183249",1,1,1,1,1,1
"ENSG00000183250",319,458,248,1,1,1
"ENSG00000183251",1,2,1,1,1,1
"ENSG00000183255",15469,14975,13237,1,1,1
"ENSG00000183258",3897,3099,4462,1,1,1
"ENSG00000183260",1,1,1,1,1,1
"ENSG00000183269",1,1,1,1,1,1
"ENSG00000183273",1,2,2,1,1,1
"ENSG00000183281",42,24,141,1,1,1
"ENSG00000183283",12868,25376,55631,1,1,1
"ENSG00000183287",112,10,62,1,1,1
"ENSG00000183291",16939,17950,36300,1,1,1
"ENSG00000183292",1,1,1,1,1,1
"ENSG00000183298",157,174,54,1,1,1
"ENSG00000183303",1,1,1,1,1,1
"ENSG00000183304",1,1,1,1,1,1
"ENSG00000183305",1,1,1,1,1,1
"ENSG00000183307",381,480,501,1,1,1
"ENSG00000183308",2,2,1,1,1,1
"ENSG00000183309",2712,3641,1903,1,1,1
"ENSG00000183310",1,1,1,1,1,1
"ENSG00000183313",1,1,1,1,1,1
"ENSG00000183317",1101,1500,122,1,1,1
"ENSG00000183318",1,1,5,1,1,1
"ENSG00000183323",1836,1651,966,1,1,1
"ENSG00000183324",1,3,59,1,1,1
"ENSG00000183336",1,1,1,1,1,1
"ENSG00000183337",5008,6394,7937,1,1,1
"ENSG00000183340",1388,1508,1715,1,1,1
"ENSG00000183346",124,347,24,1,1,1
"ENSG00000183347",10,28,2,1,1,1
"ENSG00000183354",4604,6889,8767,1,1,1
"ENSG00000183378",1,2,4,1,1,1
"ENSG00000183379",319,767,77,1,1,1
"ENSG00000183385",1,1,1,1,1,1
"ENSG00000183386",160,287,199,1,1,1
"ENSG00000183389",1,1,1,1,1,1
"ENSG00000183395",1,1,1,1,1,1
"ENSG00000183396",1,5,1,1,1,1
"ENSG00000183397",213,97,155,1,1,1
"ENSG00000183401",1453,829,431,1,1,1
"ENSG00000183421",1443,1415,1076,1,1,1
"ENSG00000183423",11,10,246,1,1,1
"ENSG00000183426",331,245,1048,1,1,1
"ENSG00000183431",5264,5005,8629,1,1,1
"ENSG00000183432",1,1,1,1,1,1
"ENSG00000183434",1,1,1,1,1,1
"ENSG00000183439",373,109,368,1,1,1
"ENSG00000183444",14,13,52,1,1,1
"ENSG00000183454",1910,1827,2369,1,1,1
"ENSG00000183458",318,399,1066,1,1,1
"ENSG00000183463",1,4,1,1,1,1
"ENSG00000183470",1,1,2,1,1,1
"ENSG00000183474",669,807,783,1,1,1
"ENSG00000183475",1431,1845,2717,1,1,1
"ENSG00000183476",11,9,11,1,1,1
"ENSG00000183479",9,1,7,1,1,1
"ENSG00000183484",38,34,6,1,1,1
"ENSG00000183486",145,195,150,1,1,1
"ENSG00000183495",4173,4847,7689,1,1,1
"ENSG00000183496",221,337,1728,1,1,1
"ENSG00000183506",402,754,1430,1,1,1
"ENSG00000183508",15309,14644,6406,1,1,1
"ENSG00000183513",2532,2544,2812,1,1,1
"ENSG00000183514",1,1,1,1,1,1
"ENSG00000183520",2355,2091,9716,1,1,1
"ENSG00000183527",1674,2360,2748,1,1,1
"ENSG00000183530",6725,7400,8640,1,1,1
"ENSG00000183535",4,10,1,1,1,1
"ENSG00000183542",1,1,1,1,1,1
"ENSG00000183549",12,27,1,1,1,1
"ENSG00000183559",1,1,1,1,1,1
"ENSG00000183560",1,1,1,1,1,1
"ENSG00000183562",13,18,54,1,1,1
"ENSG00000183566",1,1,1,1,1,1
"ENSG00000183569",58,83,99,1,1,1
"ENSG00000183570",398,708,1008,1,1,1
"ENSG00000183571",2,2,3,1,1,1
"ENSG00000183576",6694,8221,6935,1,1,1
"ENSG00000183578",59,171,1,1,1,1
"ENSG00000183579",1189,1755,1300,1,1,1
"ENSG00000183580",58,70,110,1,1,1
"ENSG00000183586",3,1,1,1,1,1
"ENSG00000183597",2634,3485,2471,1,1,1
"ENSG00000183598",3,11,18,1,1,1
"ENSG00000183604",4,2,100,1,1,1
"ENSG00000183605",1469,1416,1104,1,1,1
"ENSG00000183607",1,4,4,1,1,1
"ENSG00000183615",72,70,81,1,1,1
"ENSG00000183617",2416,1651,2279,1,1,1
"ENSG00000183621",645,578,1451,1,1,1
"ENSG00000183624",4023,4919,3655,1,1,1
"ENSG00000183625",2,1,5,1,1,1
"ENSG00000183628",32,78,31,1,1,1
"ENSG00000183629",1,1,1,1,1,1
"ENSG00000183631",1,1,1,1,1,1
"ENSG00000183632",1,1,1,1,1,1
"ENSG00000183638",20,37,24,1,1,1
"ENSG00000183640",1,1,1,1,1,1
"ENSG00000183643",1,1,4,1,1,1
"ENSG00000183644",1,1,1,1,1,1
"ENSG00000183647",257,589,1207,1,1,1
"ENSG00000183648",5192,2038,799,1,1,1
"ENSG00000183654",8,8,42,1,1,1
"ENSG00000183655",690,569,367,1,1,1
"ENSG00000183662",18,19,13,1,1,1
"ENSG00000183663",1,1,1,1,1,1
"ENSG00000183665",1173,1246,695,1,1,1
"ENSG00000183666",1,1,1,1,1,1
"ENSG00000183668",300,65,352,1,1,1
"ENSG00000183671",4,29,25,1,1,1
"ENSG00000183674",4,1,1,1,1,1
"ENSG00000183682",491,462,483,1,1,1
"ENSG00000183684",929,1148,2199,1,1,1
"ENSG00000183688",206,645,2475,1,1,1
"ENSG00000183690",143,80,11,1,1,1
"ENSG00000183691",39,5,34,1,1,1
"ENSG00000183695",1,1,10,1,1,1
"ENSG00000183696",550,1056,13168,1,1,1
"ENSG00000183704",1,1,4,1,1,1
"ENSG00000183706",1,1,1,1,1,1
"ENSG00000183709",1,1,1,1,1,1
"ENSG00000183715",726,337,33,1,1,1
"ENSG00000183718",1268,1388,2269,1,1,1
"ENSG00000183722",368,237,725,1,1,1
"ENSG00000183723",20544,22948,6448,1,1,1
"ENSG00000183726",7355,9099,12987,1,1,1
"ENSG00000183733",1,1,1,1,1,1
"ENSG00000183734",121,121,1,1,1,1
"ENSG00000183735",4505,5330,10610,1,1,1
"ENSG00000183741",15957,15102,10937,1,1,1
"ENSG00000183742",5670,9258,275,1,1,1
"ENSG00000183747",1,1,1,1,1,1
"ENSG00000183751",1686,1455,2096,1,1,1
"ENSG00000183753",1,1,1,1,1,1
"ENSG00000183760",139,87,15,1,1,1
"ENSG00000183762",3280,3469,1375,1,1,1
"ENSG00000183763",88,223,297,1,1,1
"ENSG00000183765",175,129,342,1,1,1
"ENSG00000183770",1,3,7,1,1,1
"ENSG00000183773",147,208,81,1,1,1
"ENSG00000183775",775,973,304,1,1,1
"ENSG00000183778",3511,7352,828,1,1,1
"ENSG00000183779",1023,2839,2940,1,1,1
"ENSG00000183780",3811,1411,478,1,1,1
"ENSG00000183783",681,287,523,1,1,1
"ENSG00000183784",14,53,13,1,1,1
"ENSG00000183785",18,27,10,1,1,1
"ENSG00000183793",314,220,391,1,1,1
"ENSG00000183795",1,1,1,1,1,1
"ENSG00000183798",10,20,1,1,1,1
"ENSG00000183801",79,141,23,1,1,1
"ENSG00000183807",46,39,1,1,1,1
"ENSG00000183808",1827,2930,2518,1,1,1
"ENSG00000183813",1,14,1,1,1,1
"ENSG00000183814",276,468,817,1,1,1
"ENSG00000183822",1,2,1,1,1,1
"ENSG00000183826",2902,3149,1934,1,1,1
"ENSG00000183828",1484,553,506,1,1,1
"ENSG00000183831",59,135,45,1,1,1
"ENSG00000183833",459,473,1344,1,1,1
"ENSG00000183837",340,361,16,1,1,1
"ENSG00000183840",211,301,169,1,1,1
"ENSG00000183844",2529,4441,488,1,1,1
"ENSG00000183850",7,28,12,1,1,1
"ENSG00000183853",2913,3179,2521,1,1,1
"ENSG00000183856",31,32,100,1,1,1
"ENSG00000183862",1,1,1,1,1,1
"ENSG00000183864",4660,3326,6818,1,1,1
"ENSG00000183873",27,134,128,1,1,1
"ENSG00000183876",72,30,7,1,1,1
"ENSG00000183878",2023,1,1,1,1,1
"ENSG00000183888",1,1,2,1,1,1
"ENSG00000183889",17,21,87,1,1,1
"ENSG00000183891",1925,1871,2704,1,1,1
"ENSG00000183908",25,15,1,1,1,1
"ENSG00000183909",1,1,1,1,1,1
"ENSG00000183911",1,1,7,1,1,1
"ENSG00000183914",163,74,48,1,1,1
"ENSG00000183918",2,2,1,1,1,1
"ENSG00000183921",8,17,4,1,1,1
"ENSG00000183929",1,1,4,1,1,1
"ENSG00000183935",101,286,354,1,1,1
"ENSG00000183938",1,1,1,1,1,1
"ENSG00000183943",1297,1016,285,1,1,1
"ENSG00000183955",1248,1474,1915,1,1,1
"ENSG00000183960",162,399,923,1,1,1
"ENSG00000183963",626,415,2710,1,1,1
"ENSG00000183971",5,14,33,1,1,1
"ENSG00000183977",49,172,504,1,1,1
"ENSG00000183978",6336,3248,1099,1,1,1
"ENSG00000183979",1,1,14,1,1,1
"ENSG00000183981",1,1,1,1,1,1
"ENSG00000184005",20,21,49,1,1,1
"ENSG00000184007",15093,25177,23401,1,1,1
"ENSG00000184009",91998,124612,41973,1,1,1
"ENSG00000184012",3062,3730,817,1,1,1
"ENSG00000184014",4330,4307,10698,1,1,1
"ENSG00000184022",1,1,1,1,1,1
"ENSG00000184029",2,5,9,1,1,1
"ENSG00000184032",1,1,1,1,1,1
"ENSG00000184033",1,1,1,1,1,1
"ENSG00000184047",141,287,686,1,1,1
"ENSG00000184055",1,1,1,1,1,1
"ENSG00000184056",166,287,275,1,1,1
"ENSG00000184058",1,2,46,1,1,1
"ENSG00000184060",478,640,100,1,1,1
"ENSG00000184068",25,38,89,1,1,1
"ENSG00000184076",2223,1801,2313,1,1,1
"ENSG00000184083",2505,1705,1180,1,1,1
"ENSG00000184084",7,8,1,1,1,1
"ENSG00000184100",101,81,55,1,1,1
"ENSG00000184106",1,1,1,1,1,1
"ENSG00000184108",1,1,3,1,1,1
"ENSG00000184110",696,905,3347,1,1,1
"ENSG00000184111",1,1,1,1,1,1
"ENSG00000184113",43,83,4,1,1,1
"ENSG00000184115",1,1,1,1,1,1
"ENSG00000184117",4747,3993,227,1,1,1
"ENSG00000184139",34,98,142,1,1,1
"ENSG00000184140",1,1,1,1,1,1
"ENSG00000184144",5,2,6,1,1,1
"ENSG00000184148",1,1,1,1,1,1
"ENSG00000184154",338,307,507,1,1,1
"ENSG00000184155",1,1,1,1,1,1
"ENSG00000184156",267,361,153,1,1,1
"ENSG00000184160",84,110,21,1,1,1
"ENSG00000184162",880,828,1411,1,1,1
"ENSG00000184163",3,45,65,1,1,1
"ENSG00000184164",2289,3410,1833,1,1,1
"ENSG00000184166",1,1,1,1,1,1
"ENSG00000184178",1130,764,805,1,1,1
"ENSG00000184182",1490,1852,1982,1,1,1
"ENSG00000184185",1,4,10,1,1,1
"ENSG00000184188",1,1,2,1,1,1
"ENSG00000184194",994,597,300,1,1,1
"ENSG00000184203",5385,8716,15189,1,1,1
"ENSG00000184205",5961,19512,69397,1,1,1
"ENSG00000184206",35,66,52,1,1,1
"ENSG00000184207",1380,1191,885,1,1,1
"ENSG00000184208",1527,2003,2861,1,1,1
"ENSG00000184209",1697,951,547,1,1,1
"ENSG00000184210",1,5,1,1,1,1
"ENSG00000184216",10707,15047,16261,1,1,1
"ENSG00000184220",1163,1598,1957,1,1,1
"ENSG00000184221",212,156,31,1,1,1
"ENSG00000184224",1,5,6,1,1,1
"ENSG00000184226",1407,761,6244,1,1,1
"ENSG00000184227",202,460,30,1,1,1
"ENSG00000184232",643,939,304,1,1,1
"ENSG00000184254",4180,9300,930,1,1,1
"ENSG00000184260",28,43,212,1,1,1
"ENSG00000184261",115,103,189,1,1,1
"ENSG00000184270",4,10,31,1,1,1
"ENSG00000184271",690,1058,1470,1,1,1
"ENSG00000184274",2,1,2,1,1,1
"ENSG00000184276",1,1,1,1,1,1
"ENSG00000184277",4833,4979,5602,1,1,1
"ENSG00000184281",2395,1917,4671,1,1,1
"ENSG00000184292",14521,30574,1377,1,1,1
"ENSG00000184293",5,3,4,1,1,1
"ENSG00000184302",1,5,2,1,1,1
"ENSG00000184303",1,1,1,1,1,1
"ENSG00000184304",781,570,428,1,1,1
"ENSG00000184305",578,821,337,1,1,1
"ENSG00000184307",1840,1335,1713,1,1,1
"ENSG00000184313",38,93,22,1,1,1
"ENSG00000184319",1,1,1,1,1,1
"ENSG00000184321",1,1,1,1,1,1
"ENSG00000184330",1,12,1,1,1,1
"ENSG00000184343",99,66,105,1,1,1
"ENSG00000184344",1,1,1,1,1,1
"ENSG00000184345",1,1,1,1,1,1
"ENSG00000184347",25,75,183,1,1,1
"ENSG00000184349",2324,3757,3417,1,1,1
"ENSG00000184350",381,493,519,1,1,1
"ENSG00000184351",1,1,1,1,1,1
"ENSG00000184357",1,1,5,1,1,1
"ENSG00000184361",8,11,7,1,1,1
"ENSG00000184363",2482,3046,646,1,1,1
"ENSG00000184368",2398,1964,1311,1,1,1
"ENSG00000184371",1308,584,2807,1,1,1
"ENSG00000184374",50,165,27,1,1,1
"ENSG00000184378",111,51,111,1,1,1
"ENSG00000184381",951,789,556,1,1,1
"ENSG00000184384",2093,2190,905,1,1,1
"ENSG00000184385",1,1,2,1,1,1
"ENSG00000184388",1,1,1,1,1,1
"ENSG00000184389",5,2,77,1,1,1
"ENSG00000184394",1,1,1,1,1,1
"ENSG00000184402",2380,2409,2616,1,1,1
"ENSG00000184408",211,209,60,1,1,1
"ENSG00000184414",3,6,4,1,1,1
"ENSG00000184423",1,1,1,1,1,1
"ENSG00000184428",807,739,433,1,1,1
"ENSG00000184432",18533,14563,26242,1,1,1
"ENSG00000184434",362,743,4,1,1,1
"ENSG00000184436",1699,1884,2050,1,1,1
"ENSG00000184441",163,123,310,1,1,1
"ENSG00000184445",772,971,1531,1,1,1
"ENSG00000184451",75,72,201,1,1,1
"ENSG00000184454",3319,2802,259,1,1,1
"ENSG00000184459",962,3697,1161,1,1,1
"ENSG00000184465",921,664,782,1,1,1
"ENSG00000184470",1492,1460,1278,1,1,1
"ENSG00000184471",19,8,1,1,1,1
"ENSG00000184478",1,1,7,1,1,1
"ENSG00000184481",2166,2069,1678,1,1,1
"ENSG00000184486",7,1,137,1,1,1
"ENSG00000184489",3785,2787,1628,1,1,1
"ENSG00000184492",7,1,94,1,1,1
"ENSG00000184497",51,103,64,1,1,1
"ENSG00000184500",2347,3351,625,1,1,1
"ENSG00000184502",562,109,18,1,1,1
"ENSG00000184507",1,4,1,1,1,1
"ENSG00000184508",691,703,361,1,1,1
"ENSG00000184515",2109,3182,1203,1,1,1
"ENSG00000184517",1158,1836,1718,1,1,1
"ENSG00000184523",22,14,14,1,1,1
"ENSG00000184524",14,11,39,1,1,1
"ENSG00000184530",40,14,47,1,1,1
"ENSG00000184544",1,1,1,1,1,1
"ENSG00000184545",2673,2610,4086,1,1,1
"ENSG00000184557",326,415,2076,1,1,1
"ENSG00000184560",1,1,15,1,1,1
"ENSG00000184564",250,240,652,1,1,1
"ENSG00000184566",3,7,9,1,1,1
"ENSG00000184571",1,1,30,1,1,1
"ENSG00000184574",17,83,32,1,1,1
"ENSG00000184575",11560,16450,36226,1,1,1
"ENSG00000184584",1011,597,169,1,1,1
"ENSG00000184588",1280,1467,521,1,1,1
"ENSG00000184599",2,1,25,1,1,1
"ENSG00000184601",6,14,1,1,1,1
"ENSG00000184602",2488,3701,4653,1,1,1
"ENSG00000184608",28,22,35,1,1,1
"ENSG00000184611",717,550,210,1,1,1
"ENSG00000184612",3,2,1,1,1,1
"ENSG00000184613",303,303,248,1,1,1
"ENSG00000184616",60,60,108,1,1,1
"ENSG00000184617",10,13,5,1,1,1
"ENSG00000184619",1588,1125,947,1,1,1
"ENSG00000184624",1,1,1,1,1,1
"ENSG00000184634",3302,2203,1539,1,1,1
"ENSG00000184635",826,949,1479,1,1,1
"ENSG00000184640",5789,6849,2542,1,1,1
"ENSG00000184647",1,11,1,1,1,1
"ENSG00000184650",1,12,10,1,1,1
"ENSG00000184659",1,1,1,1,1,1
"ENSG00000184661",15,23,647,1,1,1
"ENSG00000184669",1,1,1,1,1,1
"ENSG00000184672",1174,567,241,1,1,1
"ENSG00000184675",673,1038,345,1,1,1
"ENSG00000184677",4298,2875,18055,1,1,1
"ENSG00000184678",1347,2045,9670,1,1,1
"ENSG00000184697",145,37,133,1,1,1
"ENSG00000184698",1,4,1,1,1,1
"ENSG00000184702",190,180,37,1,1,1
"ENSG00000184708",2198,2056,1738,1,1,1
"ENSG00000184709",1,1,3,1,1,1
"ENSG00000184716",1,1,1,1,1,1
"ENSG00000184719",808,488,304,1,1,1
"ENSG00000184724",1,1,1,1,1,1
"ENSG00000184730",124,219,59,1,1,1
"ENSG00000184731",1497,1791,877,1,1,1
"ENSG00000184735",1,2,1,1,1,1
"ENSG00000184741",1,1,1,1,1,1
"ENSG00000184743",7432,8315,6059,1,1,1
"ENSG00000184752",3218,3684,2865,1,1,1
"ENSG00000184761",1,1,1,1,1,1
"ENSG00000184774",1,1,1,1,1,1
"ENSG00000184785",63,59,288,1,1,1
"ENSG00000184786",130,180,619,1,1,1
"ENSG00000184787",4562,4981,11505,1,1,1
"ENSG00000184788",45,17,19,1,1,1
"ENSG00000184789",1,1,1,1,1,1
"ENSG00000184792",788,964,1458,1,1,1
"ENSG00000184795",1,1,1,1,1,1
"ENSG00000184809",776,762,205,1,1,1
"ENSG00000184811",1,1,3,1,1,1
"ENSG00000184814",1,1,1,1,1,1
"ENSG00000184828",427,353,84,1,1,1
"ENSG00000184831",1800,1286,750,1,1,1
"ENSG00000184838",80,112,175,1,1,1
"ENSG00000184840",12254,15784,19120,1,1,1
"ENSG00000184844",15,16,44,1,1,1
"ENSG00000184845",29,98,15,1,1,1
"ENSG00000184856",1,1,1,1,1,1
"ENSG00000184857",894,738,1518,1,1,1
"ENSG00000184860",2004,2335,1365,1,1,1
"ENSG00000184863",3647,6881,12259,1,1,1
"ENSG00000184867",5034,3865,1627,1,1,1
"ENSG00000184887",3054,3206,1827,1,1,1
"ENSG00000184895",10,1,1,1,1,1
"ENSG00000184897",2311,3513,3890,1,1,1
"ENSG00000184898",1084,2852,204,1,1,1
"ENSG00000184900",4943,5545,5534,1,1,1
"ENSG00000184903",935,375,292,1,1,1
"ENSG00000184905",4233,3227,2984,1,1,1
"ENSG00000184906",1,1,1,1,1,1
"ENSG00000184908",157,80,17,1,1,1
"ENSG00000184911",3,5,1,1,1,1
"ENSG00000184916",1108,852,1168,1,1,1
"ENSG00000184922",461,444,129,1,1,1
"ENSG00000184923",29,3,44,1,1,1
"ENSG00000184924",399,522,340,1,1,1
"ENSG00000184925",132,633,41,1,1,1
"ENSG00000184933",1,1,1,1,1,1
"ENSG00000184937",1,2,3,1,1,1
"ENSG00000184939",2719,3527,1542,1,1,1
"ENSG00000184945",39,38,18,1,1,1
"ENSG00000184949",264,348,364,1,1,1
"ENSG00000184954",1,1,1,1,1,1
"ENSG00000184956",167,1307,40,1,1,1
"ENSG00000184961",1,1,1,1,1,1
"ENSG00000184967",547,442,752,1,1,1
"ENSG00000184979",1236,733,86,1,1,1
"ENSG00000184983",5233,4731,9845,1,1,1
"ENSG00000184984",29,20,78,1,1,1
"ENSG00000184985",69,141,32,1,1,1
"ENSG00000184986",54,58,15,1,1,1
"ENSG00000184988",168,234,193,1,1,1
"ENSG00000184990",1427,2386,2855,1,1,1
"ENSG00000184991",1,1,1,1,1,1
"ENSG00000184992",3369,2705,1093,1,1,1
"ENSG00000184995",2,1,1,1,1,1
"ENSG00000184999",1,1,9,1,1,1
"ENSG00000185000",1600,1092,1020,1,1,1
"ENSG00000185002",8664,8991,1950,1,1,1
"ENSG00000185008",9724,9253,3068,1,1,1
"ENSG00000185009",6267,6007,5542,1,1,1
"ENSG00000185010",1032,1847,616,1,1,1
"ENSG00000185013",25,38,55,1,1,1
"ENSG00000185015",689,715,1201,1,1,1
"ENSG00000185019",1096,1001,757,1,1,1
"ENSG00000185022",968,2400,25708,1,1,1
"ENSG00000185024",1488,1375,838,1,1,1
"ENSG00000185028",1,7,6,1,1,1
"ENSG00000185031",3,2,1,1,1,1
"ENSG00000185033",4900,3783,1941,1,1,1
"ENSG00000185037",1,1,1,1,1,1
"ENSG00000185038",4,5,1,1,1,1
"ENSG00000185040",4,6,46,1,1,1
"ENSG00000185043",5743,6015,9332,1,1,1
"ENSG00000185046",623,862,99,1,1,1
"ENSG00000185049",1232,1130,2238,1,1,1
"ENSG00000185052",439,449,238,1,1,1
"ENSG00000185053",141,224,10,1,1,1
"ENSG00000185055",51,26,70,1,1,1
"ENSG00000185056",14,34,293,1,1,1
"ENSG00000185065",224,384,417,1,1,1
"ENSG00000185069",1,1,1,1,1,1
"ENSG00000185070",9421,3209,2526,1,1,1
"ENSG00000185074",1,1,1,1,1,1
"ENSG00000185078",1,1,1,1,1,1
"ENSG00000185085",1689,1502,1107,1,1,1
"ENSG00000185088",9121,9058,12893,1,1,1
"ENSG00000185090",2152,1832,962,1,1,1
"ENSG00000185100",827,874,389,1,1,1
"ENSG00000185101",1199,1163,1268,1,1,1
"ENSG00000185104",3503,4398,4081,1,1,1
"ENSG00000185105",3,25,25,1,1,1
"ENSG00000185112",138,215,566,1,1,1
"ENSG00000185115",2547,2605,2805,1,1,1
"ENSG00000185122",2202,2379,2864,1,1,1
"ENSG00000185127",2491,3395,5832,1,1,1
"ENSG00000185129",8164,7707,7093,1,1,1
"ENSG00000185130",1,19,34,1,1,1
"ENSG00000185133",679,434,163,1,1,1
"ENSG00000185149",1,3,1,1,1,1
"ENSG00000185155",1,8,3,1,1,1
"ENSG00000185156",334,142,44,1,1,1
"ENSG00000185158",893,1425,9434,1,1,1
"ENSG00000185163",1199,1473,3127,1,1,1
"ENSG00000185164",4316,4631,2816,1,1,1
"ENSG00000185168",52,42,5,1,1,1
"ENSG00000185176",118,76,41,1,1,1
"ENSG00000185177",1,1,1,1,1,1
"ENSG00000185182",1,1,1,1,1,1
"ENSG00000185186",1,2,1,1,1,1
"ENSG00000185187",1414,1811,442,1,1,1
"ENSG00000185189",901,1472,291,1,1,1
"ENSG00000185198",1,1,1,1,1,1
"ENSG00000185201",1547,1063,324,1,1,1
"ENSG00000185203",1,1,1,1,1,1
"ENSG00000185215",2808,2197,1617,1,1,1
"ENSG00000185219",3433,3620,2304,1,1,1
"ENSG00000185220",433,326,239,1,1,1
"ENSG00000185221",1,1,1,1,1,1
"ENSG00000185222",5854,4903,15842,1,1,1
"ENSG00000185231",1,1,3,1,1,1
"ENSG00000185236",4443,4143,3383,1,1,1
"ENSG00000185238",1068,1516,3059,1,1,1
"ENSG00000185245",48,199,103,1,1,1
"ENSG00000185246",2995,3272,9096,1,1,1
"ENSG00000185247",1,1,1,1,1,1
"ENSG00000185250",244,349,326,1,1,1
"ENSG00000185252",833,759,207,1,1,1
"ENSG00000185261",140,142,158,1,1,1
"ENSG00000185262",1232,1841,1531,1,1,1
"ENSG00000185264",1,1,1,1,1,1
"ENSG00000185267",259,1174,155,1,1,1
"ENSG00000185269",21,6,40,1,1,1
"ENSG00000185271",39,32,83,1,1,1
"ENSG00000185272",412,759,324,1,1,1
"ENSG00000185274",54,129,3,1,1,1
"ENSG00000185275",553,523,42,1,1,1
"ENSG00000185278",2052,4507,2657,1,1,1
"ENSG00000185290",317,300,37,1,1,1
"ENSG00000185291",169,470,799,1,1,1
"ENSG00000185294",1,1,1,1,1,1
"ENSG00000185296",1,1,1,1,1,1
"ENSG00000185298",873,741,2756,1,1,1
"ENSG00000185303",244,414,10,1,1,1
"ENSG00000185304",13,189,923,1,1,1
"ENSG00000185305",5583,6128,1228,1,1,1
"ENSG00000185306",5,5,3,1,1,1
"ENSG00000185313",1,1,1,1,1,1
"ENSG00000185319",1,1,1,1,1,1
"ENSG00000185324",3941,2892,1268,1,1,1
"ENSG00000185332",3,18,1,1,1,1
"ENSG00000185338",47,43,160,1,1,1
"ENSG00000185339",1660,2082,160,1,1,1
"ENSG00000185340",457,517,150,1,1,1
"ENSG00000185344",1753,3150,5559,1,1,1
"ENSG00000185345",532,1014,109,1,1,1
"ENSG00000185347",201,227,69,1,1,1
"ENSG00000185352",5807,13149,6432,1,1,1
"ENSG00000185359",4400,4350,8202,1,1,1
"ENSG00000185361",412,239,74,1,1,1
"ENSG00000185372",1,1,1,1,1,1
"ENSG00000185379",1735,1764,464,1,1,1
"ENSG00000185385",1,1,1,1,1,1
"ENSG00000185386",1266,777,387,1,1,1
"ENSG00000185390",1,1,1,1,1,1
"ENSG00000185404",705,712,1088,1,1,1
"ENSG00000185414",2453,2243,1729,1,1,1
"ENSG00000185418",1359,2080,2137,1,1,1
"ENSG00000185420",1243,979,376,1,1,1
"ENSG00000185432",5768,4881,259,1,1,1
"ENSG00000185433",1,15,21,1,1,1
"ENSG00000185436",1009,1173,625,1,1,1
"ENSG00000185437",93,75,284,1,1,1
"ENSG00000185442",6714,5397,3403,1,1,1
"ENSG00000185448",1,1,1,1,1,1
"ENSG00000185453",1336,1281,675,1,1,1
"ENSG00000185467",77,159,75,1,1,1
"ENSG00000185475",1263,1121,485,1,1,1
"ENSG00000185477",5324,6297,2627,1,1,1
"ENSG00000185479",47,98,3,1,1,1
"ENSG00000185480",130,130,127,1,1,1
"ENSG00000185482",106,343,154,1,1,1
"ENSG00000185483",2589,3985,2295,1,1,1
"ENSG00000185485",1,1,1,1,1,1
"ENSG00000185495",4,16,1,1,1,1
"ENSG00000185499",8737,34037,776,1,1,1
"ENSG00000185504",1366,1531,1060,1,1,1
"ENSG00000185507",475,303,682,1,1,1
"ENSG00000185513",468,613,374,1,1,1
"ENSG00000185515",3298,2944,1720,1,1,1
"ENSG00000185518",1590,2469,624,1,1,1
"ENSG00000185519",745,1041,230,1,1,1
"ENSG00000185522",319,401,214,1,1,1
"ENSG00000185523",13,27,28,1,1,1
"ENSG00000185527",5,5,76,1,1,1
"ENSG00000185532",468,793,2563,1,1,1
"ENSG00000185551",2005,2849,900,1,1,1
"ENSG00000185559",7040,9591,5194,1,1,1
"ENSG00000185561",571,1731,3340,1,1,1
"ENSG00000185565",10937,8285,2060,1,1,1
"ENSG00000185567",289,1430,447,1,1,1
"ENSG00000185585",541,592,15,1,1,1
"ENSG00000185591",6660,8321,16069,1,1,1
"ENSG00000185594",1,1,1,1,1,1
