Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR12885579	(1, 32.093419578633444)	(2, 32.38846182649887)	(3, 32.50838416512334)	(4, 35.93743190018648)	(5, 35.96031094656089)	(6, 36.04101732791385)	(7, 36.041575116946866)	(8, 36.04687546538221)	(9, 37.793286464590885)	(10, 37.76807658324232)	(12, 37.76734402477639)	(14, 39.18146059783628)	(16, 39.17516225567367)	(18, 39.15170154180656)	(20, 39.13858768727516)	(22, 39.046252938001395)	(24, 39.06854023248593)	(26, 39.00616310678072)	(28, 38.926252616050654)	(30, 38.8651956356979)	(32, 38.80351476195037)	(34, 38.75694739967726)	(36, 38.68017918673809)	(38, 38.58331064917287)	(40, 38.51407167851856)	(42, 38.46235358143683)	(44, 38.38114617633033)	(46, 38.29620894527092)	(48, 38.124777802124285)	(50, 37.952458238671866)	(52, 37.77993323544215)	(54, 37.60345503934028)	(56, 37.4766483444313)	(58, 37.29335425086401)	(60, 37.011748851407106)	(62, 36.8000956933523)	(64, 36.48033198358482)	(66, 36.07206989307444)	(68, 35.88651099552388)	(70, 35.52043018129696)	(72, 35.18290030778152)	(74, 34.92257094527388)	(76, 33.95985365333434)												
SRR12885580	(1, 32.102360113195154)	(2, 32.40948711276862)	(3, 32.53354554476604)	(4, 35.95732887811239)	(5, 35.98052390045888)	(6, 36.05807661418402)	(7, 36.05968526953598)	(8, 36.062947632055)	(9, 37.81532206488114)	(10, 37.795927545653846)	(12, 37.79404446708344)	(14, 39.21446321554906)	(16, 39.20307809806813)	(18, 39.18146389819549)	(20, 39.164991842657834)	(22, 39.09530566749077)	(24, 39.09592463026611)	(26, 39.027500330939006)	(28, 38.958592752681525)	(30, 38.89846818774399)	(32, 38.83394467260334)	(34, 38.77899680474424)	(36, 38.69655326349009)	(38, 38.634553200519115)	(40, 38.56308956747719)	(42, 38.51022049025359)	(44, 38.42887165828006)	(46, 38.34518629423776)	(48, 38.19740645736674)	(50, 38.03460052137116)	(52, 37.87863358788416)	(54, 37.7387826202925)	(56, 37.64304370634955)	(58, 37.49806283799992)	(60, 37.246617082988564)	(62, 37.07352145063972)	(64, 36.785900748397594)	(66, 36.424746631025286)	(68, 36.243169563397494)	(70, 35.8797123300118)	(72, 35.531688395549416)	(74, 35.260134917551866)	(76, 34.282635897886706)												
SRR12885581	(1, 33.05278712829446)	(2, 33.1632638691805)	(3, 33.220698270272926)	(4, 36.46166464054637)	(5, 36.49246310926387)	(6, 36.35923501087273)	(7, 36.01930787559532)	(8, 36.13954938445457)	(9, 37.93727039065958)	(10, 37.88966411317902)	(12, 37.810931585091254)	(14, 39.19346510046037)	(16, 39.19764557687857)	(18, 39.28828852623646)	(20, 39.25336615225173)	(22, 39.157877255994045)	(24, 39.069824326999075)	(26, 39.079890127078514)	(28, 39.00380650263103)	(30, 39.52718444638985)	(32, 39.57671802467582)	(34, 39.59114635159281)	(36, 39.47789133593258)	(38, 39.37844535136707)	(40, 39.35749793999954)	(42, 39.31067403955137)	(44, 39.29789360185457)	(46, 39.240638239745756)	(48, 39.11937418411606)	(50, 37.798186855082946)	(52, 36.550176300695696)	(54, 36.7716913603297)	(56, 37.58845182278823)	(58, 34.98359086706772)	(60, 36.44046716994725)	(62, 37.159486840243126)	(64, 36.648125671230275)	(66, 36.57712161832109)	(68, 36.09129951127302)	(70, 35.73580639825143)	(72, 34.339035846959575)	(74, 34.665523456219944)	(76, 34.000834978533476)												
SRR12885679_1	(1, 32.54608842412731)	(2, 32.555081113015625)	(3, 32.544016182008974)	(4, 32.636426178897366)	(5, 32.64736123608317)	(6, 36.256467670969904)	(7, 36.44691665920305)	(8, 36.52209958802201)	(9, 36.55848262819799)	(10, 36.5599267959788)	(12, 36.54687520465836)	(14, 36.448435063478584)	(16, 36.519995007880624)	(18, 36.52299254948608)	(20, 36.50495041770099)	(22, 36.502985766098334)	(24, 36.498726638856084)	(26, 36.47311717169619)	(28, 36.464806556060495)	(30, 36.45718596775104)	(32, 36.44324722720674)	(34, 36.422380429061405)	(36, 36.40377869300839)	(38, 36.327938084246405)	(40, 36.19708834707181)	(42, 36.14662877249439)	(44, 36.225577859858575)	(46, 36.20541636514662)	(48, 36.21393542341826)	(50, 36.17601679621707)	(52, 36.13655027566152)	(54, 36.13368458553286)	(56, 36.125833703514544)	(58, 36.10082367303756)	(60, 36.08979914069465)	(62, 36.11895955975872)	(64, 36.1007138338153)	(66, 36.071731511144165)	(68, 36.06980298141466)	(70, 36.032172556917914)	(72, 35.9960327385679)	(74, 35.88169641628231)	(76, 35.849608533962666)	(78, 35.900643376030374)	(80, 35.930547880459876)	(82, 35.93930039086207)	(84, 35.935196960250835)	(86, 35.936127853470424)	(88, 35.925209816531705)	(90, 35.89658497420263)	(92, 35.875908649254946)	(94, 35.83051550023549)	(96, 35.84256570624339)	(98, 35.95401843747862)	(100, 36.380841121326085)
SRR12885679_2	(1, 32.536482090817486)	(2, 32.48330937424186)	(3, 32.56429030098663)	(4, 32.53449736181502)	(5, 32.58104579043012)	(6, 36.30868467219354)	(7, 36.31467263426607)	(8, 36.306852461865866)	(9, 36.317011671939404)	(10, 36.31010533930234)	(12, 36.276614620877865)	(14, 36.25795373264583)	(16, 36.25590995219821)	(18, 36.25943568456451)	(20, 36.27172719504628)	(22, 36.26175803149768)	(24, 36.230338511734246)	(26, 36.23497373210671)	(28, 36.23278895220366)	(30, 36.23358612611857)	(32, 36.226499838287005)	(34, 36.21649946255084)	(36, 36.22040196118904)	(38, 36.20947889599088)	(40, 36.212435783826706)	(42, 36.18771380781776)	(44, 36.17112437314222)	(46, 36.159952200040514)	(48, 36.1481283195623)	(50, 36.129942660713525)	(52, 36.12482742088831)	(54, 36.14397250930411)	(56, 36.13904993928234)	(58, 36.13586189853349)	(60, 36.112709226812726)	(62, 36.11242828494416)	(64, 36.113989674783596)	(66, 36.10031456421888)	(68, 35.906002322197686)	(70, 35.91018275641398)	(72, 35.95817489512177)	(74, 35.995287452892455)	(76, 36.0127803042009)	(78, 36.00765703581082)	(80, 36.01175630756993)	(82, 36.00010367923256)	(84, 35.96696961526148)	(86, 35.954306011711815)	(88, 35.94638726756215)	(90, 35.92359541558676)	(92, 35.907282165989145)	(94, 35.87529945956442)	(96, 35.864185179454026)	(98, 35.98081349576661)	(100, 36.40140376911507)
SRR12885688_1	(1, 21.581297690042483)	(2, 28.545827815178175)	(3, 30.335960443638577)	(4, 32.11388796584861)	(5, 32.41117678534479)	(6, 35.839959268386764)	(7, 36.3072478908236)	(8, 36.470369749215244)	(9, 36.57211637823408)	(10, 36.612526038592755)	(12, 36.603306306319254)	(14, 36.59617513063827)	(16, 36.595892660108674)	(18, 36.63562676492984)	(20, 36.62953367008963)	(22, 36.625532044974904)	(24, 36.630240400848606)	(26, 36.60737148471891)	(28, 36.59897278138635)	(30, 36.58279982356939)	(32, 36.565600230705094)	(34, 36.59563513915346)	(36, 36.598784365842086)	(38, 36.58591211489985)	(40, 36.588671076853245)	(42, 36.57895854260923)	(44, 36.57074719190756)	(46, 36.566160821866276)	(48, 36.55321308581489)	(50, 36.533632338759745)	(52, 36.51021506402195)	(54, 36.482111643621984)	(56, 36.4600362971501)	(58, 36.45524961612934)	(60, 36.44860931262373)	(62, 36.42971553839696)	(64, 36.41327357433357)	(66, 36.39935158300929)	(68, 36.37841981262035)	(70, 36.373702675157)	(72, 36.37899475571358)	(74, 36.344335513746024)	(76, 36.3442925913881)	(78, 36.33594714900744)	(80, 36.31573143631977)	(82, 36.31332240864939)	(84, 36.30367081449289)	(86, 36.27613353754148)	(88, 36.259874444913905)	(90, 36.25049828506315)	(92, 36.235037003538054)	(94, 36.22904674785261)	(96, 36.236011067760884)	(98, 36.31049883767105)	(100, 36.59261452975467)
SRR12885688_2	(1, 32.38380103166443)	(2, 32.458206780023815)	(3, 32.46925426361209)	(4, 32.464877976706234)	(5, 32.50732576356669)	(6, 36.210439773978095)	(7, 36.232209569733925)	(8, 36.23435637019158)	(9, 36.23193077351076)	(10, 36.23933880959106)	(12, 36.23744162704077)	(14, 36.22308001302189)	(16, 36.236780012254144)	(18, 36.22376570814161)	(20, 36.237916359648295)	(22, 36.23848912857771)	(24, 36.239985797630986)	(26, 36.24746679359657)	(28, 36.25756999452735)	(30, 36.27682235473594)	(32, 36.28077452237047)	(34, 36.27890980245848)	(36, 36.28133226349567)	(38, 36.28778744777226)	(40, 36.27927669972387)	(42, 36.28772548850415)	(44, 36.288273839261265)	(46, 36.29152428909029)	(48, 36.28284618994598)	(50, 36.27868817183465)	(52, 36.272036497759174)	(54, 36.26080872245274)	(56, 36.245742653854634)	(58, 36.25232678638771)	(60, 36.24321910963838)	(62, 36.23799999290921)	(64, 36.22423887967422)	(66, 36.209522112718226)	(68, 36.20698206063501)	(70, 36.20664612810597)	(72, 36.19543029866553)	(74, 36.190378060243695)	(76, 36.17725753683405)	(78, 36.16222920963057)	(80, 36.155433842177644)	(82, 36.135147371696604)	(84, 36.12874616305619)	(86, 36.119650830732795)	(88, 36.10744261207356)	(90, 36.0937469890068)	(92, 36.08381380224607)	(94, 36.0741474087588)	(96, 36.104165085369374)	(98, 36.229021845392566)	(100, 36.560711512274985)
SRR12885709_1	(1, 27.377808218020792)	(2, 30.827333723844337)	(3, 31.535977874660244)	(4, 32.19466384591289)	(5, 32.377000904613425)	(6, 35.79482439276522)	(7, 36.19042138118397)	(8, 36.35745908610666)	(9, 36.45286043484806)	(10, 36.48047767244954)	(12, 36.467549851876015)	(14, 36.46939159703634)	(16, 36.462584756073)	(18, 36.466151632939756)	(20, 36.45900526152039)	(22, 36.456636263688004)	(24, 36.44911391982376)	(26, 36.421722526054154)	(28, 36.414333250526354)	(30, 36.3991525676317)	(32, 36.39263146354159)	(34, 36.386437572642734)	(36, 36.37084806369133)	(38, 36.37454653077886)	(40, 36.35936524063996)	(42, 36.27935241026094)	(44, 36.333227288551356)	(46, 36.3357867621504)	(48, 36.32617958625862)	(50, 36.28276369404344)	(52, 36.27145878852849)	(54, 36.24213742250506)	(56, 36.224484448823645)	(58, 36.2047891668542)	(60, 36.20853985405076)	(62, 36.1883958398119)	(64, 36.18329930199734)	(66, 36.179258090185655)	(68, 36.167269129190956)	(70, 36.16336638784945)	(72, 36.14919643636306)	(74, 36.1259708853435)	(76, 36.11116174900818)	(78, 36.09550852019708)	(80, 36.080643366682125)	(82, 36.066921519299186)	(84, 36.04818567196824)	(86, 36.04561944248169)	(88, 36.03229803436582)	(90, 36.021513218062026)	(92, 36.01410616968545)	(94, 36.01889869424198)	(96, 36.04894932214768)	(98, 36.16835300938866)	(100, 36.521842093382844)
SRR12885709_2	(1, 32.4634043412268)	(2, 32.500057544294634)	(3, 32.46257636248976)	(4, 32.465945557726116)	(5, 32.49100786870207)	(6, 36.12001024235643)	(7, 36.196879979479604)	(8, 36.15644666884718)	(9, 36.145882097138774)	(10, 36.13570039845669)	(12, 36.112943396041594)	(14, 36.0291628540499)	(16, 36.07972809815533)	(18, 36.10069178237977)	(20, 36.11730454075739)	(22, 36.10109341806883)	(24, 36.11609490888574)	(26, 36.07943071768887)	(28, 36.05417942363867)	(30, 36.06464117395241)	(32, 36.05661897490934)	(34, 36.02823732039097)	(36, 36.024063243274625)	(38, 36.04135715429225)	(40, 36.04376228185909)	(42, 36.04093315875731)	(44, 35.92834967172823)	(46, 35.994381665351064)	(48, 36.00218659902214)	(50, 36.00384800280764)	(52, 35.991056238256064)	(54, 35.98779953310762)	(56, 35.94923714772831)	(58, 35.9526356900065)	(60, 35.96839396162022)	(62, 35.9158673985926)	(64, 35.942209877614005)	(66, 35.94105879564292)	(68, 35.9433693716283)	(70, 35.9547349517982)	(72, 35.93344823578354)	(74, 35.923965746855984)	(76, 35.90029305474525)	(78, 35.88801878694143)	(80, 35.88115582450507)	(82, 35.86486394779455)	(84, 35.85152302630527)	(86, 35.831528491137036)	(88, 35.81601422140067)	(90, 35.787622941966745)	(92, 35.72116578654679)	(94, 35.76657667820555)	(96, 35.852618739666546)	(98, 36.026033589468305)	(100, 36.46720230804173)
