Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR12885579	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 3.749842238780097e-05)	(16, 0.0002611497273436139)	(18, 6.963992729163038e-05)	(20, 0.0)	(22, 1.3392293709928919e-06)	(24, 0.0)	(26, 0.00012856601961531763)	(28, 0.0004473026099116259)	(30, 0.0002490966630046779)	(32, 4.017688112978676e-05)	(34, 0.00028659508539247884)	(36, 0.00028538258731310406)	(38, 0.0004630653506143595)	(40, 0.0004034010039413892)	(42, 0.0013256261107928396)	(44, 0.0008111995204609558)	(46, 0.00045983251412142265)	(48, 0.0024100085785732804)	(50, 0.0008221491939329956)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 5.6519799416470296e-05)	(60, 0.00034717098799109274)	(62, 0.0004869228408887505)	(64, 0.0003285029068818561)	(66, 0.0005841827707199042)	(68, 0.00018957813710776756)	(70, 0.00039520803482776456)	(72, 0.00014534277090492504)	(74, 4.036774263857089e-05)	(76, 0.0)												
SRR12885580	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 4.020432250225822e-05)	(16, 0.00026305113865763235)	(18, 5.513735657452555e-05)	(20, 0.0)	(22, 1.148694928635949e-06)	(24, 0.0)	(26, 0.0001332486117217701)	(28, 0.00043076059823848097)	(30, 0.0002435233248708212)	(32, 4.250171235953012e-05)	(34, 0.00026764591837217616)	(36, 0.00025284570369062554)	(38, 0.00045721639083216414)	(40, 0.00034620865231507937)	(42, 0.0013622329315162488)	(44, 0.0008320447166325125)	(46, 0.0005086838370147256)	(48, 0.0026042320295533417)	(50, 0.0008603310147509765)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 6.040856086434938e-05)	(60, 0.00037918885109653215)	(62, 0.00048534667436463856)	(64, 0.00040452144873253136)	(66, 0.0005491639309610813)	(68, 0.0002015547036724643)	(70, 0.00043658066193365524)	(72, 0.00013703848862991658)	(74, 2.4733552243408628e-05)	(76, 0.0)												
SRR12885581	(1, 0.0)	(2, 0.04516916124290194)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 3.3753670036543073e-06)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00020927275422656706)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.00019577128621194983)	(28, 1.6876835018271536e-06)	(30, 0.00022783727274666574)	(32, 0.0013130177644215255)	(34, 0.0)	(36, 0.003896135706930781)	(38, 0.002274733219930165)	(40, 9.981847587203028e-05)	(42, 0.0026626115927703593)	(44, 7.630086747812695e-05)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)												
SRR12885679_1	(1, 0.0)	(2, 2.1967522025530013e-05)	(3, 0.0004485035746879044)	(4, 9.153134177304172e-07)	(5, 0.022720824968322145)	(6, 8.146289417800714e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 3.6612536709216687e-06)	(14, 0.0003478190987375585)	(16, 0.0014493987969761157)	(18, 0.0009089062238063043)	(20, 0.0011642786673530907)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.00021967522025530015)	(32, 0.0)	(34, 0.0)	(36, 9.291479298799245e-05)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 2.388135025080837e-05)	(50, 0.00012039988072323877)	(52, 0.0)	(54, 0.0)	(56, 3.5904576517465156e-05)	(58, 3.086008271100944e-05)	(60, 1.1060563567512885e-05)	(62, 0.0028731897705553924)	(64, 0.0020420560191423604)	(66, 3.877877476263674e-05)	(68, 4.111062923910637e-05)	(70, 0.0)	(72, 0.0)	(74, 2.5516253303595114e-05)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 1.884231080648873e-06)	(86, 4.7166955495090874e-07)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR12885679_2	(1, 0.0)	(2, 0.26687518726740456)	(3, 1.8306268354608343e-06)	(4, 1.4645014683686675e-05)	(5, 0.0002864930997496206)	(6, 0.0)	(7, 0.0)	(8, 1.647564151914751e-05)	(9, 0.0)	(10, 0.00014645014683686676)	(12, 0.0013336116496332178)	(14, 0.0006631445711456872)	(16, 0.0008956341792492133)	(18, 0.0011491759959605388)	(20, 0.0009665709691233206)	(22, 0.0)	(24, 0.000741403868361638)	(26, 0.000627447347854201)	(28, 0.0011532949063403257)	(30, 0.00035834520304145836)	(32, 9.885384911488508e-05)	(34, 0.0020507597124249997)	(36, 0.0016840702749022027)	(38, 0.0006198573344971869)	(40, 0.002354915009095286)	(42, 0.001447375317255239)	(44, 0.0059935362497261875)	(46, 0.0004762726789809512)	(48, 0.0010256367876967463)	(50, 0.00047481496021186493)	(52, 0.0018224364493042012)	(54, 0.0002154091679848562)	(56, 0.0016590307629310544)	(58, 0.00020141370989492708)	(60, 4.623084540497758e-06)	(62, 1.850612566870555e-06)	(64, 0.0)	(66, 0.0)	(68, 1.7211426936143653e-05)	(70, 0.00030309312653533716)	(72, 3.093710182983161e-05)	(74, 0.0)	(76, 0.00019748695167417938)	(78, 0.000834955041449095)	(80, 4.824978835963544e-05)	(82, 0.0009379409254961547)	(84, 0.001801414511654597)	(86, 0.0004050398524788826)	(88, 3.327346201645127e-05)	(90, 4.282331121775765e-05)	(92, 0.0)	(94, 0.0)	(96, 0.00041490583889871663)	(98, 7.069114557591695e-05)	(100, 0.0)
SRR12885688_1	(1, 0.0)	(2, 0.0021369239971405817)	(3, 0.0008852165370740667)	(4, 5.262433766045407e-05)	(5, 0.011093398322886791)	(6, 0.00036367176204635227)	(7, 8.457482838287262e-06)	(8, 0.0)	(9, 5.732293923728033e-05)	(10, 0.0002842653953979885)	(12, 0.00020626860922267267)	(14, 0.0001630414747158711)	(16, 3.523951182619692e-05)	(18, 0.0003223240681702812)	(20, 9.397203153652513e-07)	(22, 0.0006667315637516458)	(24, 0.0003331308517969816)	(26, 5.403391813350195e-05)	(28, 6.812972286398072e-05)	(30, 7.987622680604637e-06)	(32, 8.927342995969888e-05)	(34, 0.00011088699721309966)	(36, 0.0005516535801969634)	(38, 0.008743151071032951)	(40, 0.0002054500192029949)	(42, 0.0001086306792507079)	(44, 0.00037348190776026073)	(46, 0.002599994795305388)	(48, 6.353501600159968e-05)	(50, 9.98022277627314e-05)	(52, 7.06365550190458e-05)	(54, 0.000594949786402899)	(56, 0.00042833486090393207)	(58, 0.00029932179949494184)	(60, 0.0013287849154563426)	(62, 0.0008693434567742079)	(64, 3.397476846832316e-05)	(66, 0.0002431040480274658)	(68, 0.0018501687362859726)	(70, 0.0001998270225487363)	(72, 0.0001715509863236529)	(74, 0.0003035506977609249)	(76, 0.0014677131148896445)	(78, 0.00016284172673636818)	(80, 0.00011792415467881204)	(82, 0.0002378554309952255)	(84, 0.00010239651263266725)	(86, 9.344192771550662e-05)	(88, 0.00022307426360088653)	(90, 0.0005319834102303478)	(92, 1.5214115401433017e-05)	(94, 0.0003594653998198188)	(96, 0.00013508420667341373)	(98, 4.805271721369471e-07)	(100, 0.0)
SRR12885688_2	(1, 0.0)	(2, 0.00660153521544089)	(3, 0.0006700205848554242)	(4, 0.002072083295380379)	(5, 0.004190212886213656)	(6, 0.004809488574039357)	(7, 0.007184161810967346)	(8, 0.001675521322296243)	(9, 0.0007339215663002613)	(10, 0.0009444189169420775)	(12, 0.00038152644803829205)	(14, 0.0017699632139904506)	(16, 0.003983004556675617)	(18, 0.0015937656548594662)	(20, 0.0002048590287496248)	(22, 0.00032796239006247267)	(24, 0.0013188974626151303)	(26, 0.00032702266974710744)	(28, 8.081594712141162e-05)	(30, 0.0005774581337919469)	(32, 0.0003096378439128503)	(34, 0.0010548360539974946)	(36, 0.0009676139561869851)	(38, 0.0004491090968764062)	(40, 0.003936559730472579)	(42, 0.0013520119505989244)	(44, 0.0006795411342412398)	(46, 0.0003150073530166967)	(48, 0.00023688615024170927)	(50, 0.0016484622477401809)	(52, 0.0014090849262147706)	(54, 0.006384148812470771)	(56, 0.0001007913965372458)	(58, 0.00010180818582988497)	(60, 6.491753153995763e-05)	(62, 0.00019536207494173598)	(64, 0.00598864391770973)	(66, 0.003671795992811182)	(68, 0.00010170215667977626)	(70, 6.848557668310759e-05)	(72, 5.04504821117083e-05)	(74, 7.097035368752123e-05)	(76, 0.000299834189309892)	(78, 8.110865725085488e-06)	(80, 2.6748635950921412e-05)	(82, 0.0001936286849355506)	(84, 7.89614953504026e-05)	(86, 0.00035977580419856733)	(88, 0.0006624102832783426)	(90, 0.008118123905456616)	(92, 0.0018726522182299472)	(94, 0.0014335810004146817)	(96, 0.0002131797901372874)	(98, 0.0)	(100, 0.0)
SRR12885709_1	(1, 0.0)	(2, 0.008745895246478938)	(3, 0.0009622578615101734)	(4, 0.002076547002937281)	(5, 0.00034684980627755545)	(6, 0.0011033647380797825)	(7, 6.918788786638901e-05)	(8, 0.000150210546025713)	(9, 2.0028072803428398e-05)	(10, 0.0009827411177864072)	(12, 0.0002248606355657643)	(14, 7.055343828480458e-05)	(16, 2.731100836831145e-06)	(18, 7.282935564883054e-05)	(20, 1.9117705857818016e-05)	(22, 0.00011197513431007695)	(24, 0.00010969921694605099)	(26, 0.00030770402761630904)	(28, 0.0003090695780347246)	(30, 0.00015294164686254413)	(32, 0.00013245839058631054)	(34, 0.0003372909533486464)	(36, 0.00022852567557208613)	(38, 0.0002946578763831056)	(40, 0.0003686048169168123)	(42, 0.0016127767878589107)	(44, 0.00034659753432247074)	(46, 0.00042340852541004827)	(48, 0.0004300004778391722)	(50, 0.001302526035049779)	(52, 0.015413931718503276)	(54, 0.0005125477636448308)	(56, 8.829771934036462e-05)	(58, 0.000274652086986454)	(60, 0.0024046022162737706)	(62, 0.006204413907496707)	(64, 0.0008822842221117145)	(66, 5.506045525571982e-06)	(68, 2.9382933377664832e-05)	(70, 5.053343112869189e-05)	(72, 1.3791850006900753e-05)	(74, 3.685665035225467e-06)	(76, 0.0001244884029912666)	(78, 0.0006393994997125181)	(80, 0.00019382479849095244)	(82, 0.00044504015164777974)	(84, 0.00014537724647673597)	(86, 2.2314800855581077e-05)	(88, 3.164538347093863e-05)	(90, 9.831484534315333e-05)	(92, 0.0002837372557171564)	(94, 1.7305942248779785e-05)	(96, 4.6950614625096736e-07)	(98, 0.0)	(100, 0.0)
SRR12885709_2	(1, 0.0)	(2, 0.0015412512389183764)	(3, 0.0021785081008456435)	(4, 0.006992528509233343)	(5, 0.008412700944385539)	(6, 0.0009813755673679916)	(7, 0.00034684980627755545)	(8, 0.0006490916322202023)	(9, 0.0013391497769928715)	(10, 0.0003045177433066727)	(12, 0.0005057088382865671)	(14, 0.12279894210991159)	(16, 0.0006081251196677351)	(18, 0.00019208742552379054)	(20, 9.376779539786933e-05)	(22, 0.0002153017826368553)	(24, 4.7794264644545045e-05)	(26, 8.921596066981741e-05)	(28, 0.00035185682447841257)	(30, 0.0017201383437308163)	(32, 0.0002517164604612706)	(34, 0.00022076398431051757)	(36, 0.0001739335559974257)	(38, 0.000326364836322109)	(40, 0.00015331304004062067)	(42, 0.0002745327464075974)	(44, 0.0876649134888551)	(46, 0.0009887233016258152)	(48, 0.000575348448900008)	(50, 0.0008136595942790379)	(52, 0.0004887895069976236)	(54, 0.0003145465284099781)	(56, 6.123536623806683e-05)	(58, 0.0002521049623663289)	(60, 0.00010611956365739359)	(62, 0.0001940132293833239)	(64, 5.5490395701503084e-05)	(66, 0.00022126021858843203)	(68, 8.479349429467668e-05)	(70, 0.00010204178657542893)	(72, 5.6646792031341614e-05)	(74, 0.00011620741573440042)	(76, 5.53809450205389e-05)	(78, 4.620078313407464e-05)	(80, 0.00025157801372130845)	(82, 0.0005592102772415369)	(84, 0.00015785352357182273)	(86, 0.00016751026120336154)	(88, 8.956089096494177e-05)	(90, 0.0015296425499354833)	(92, 0.05446078921499156)	(94, 0.00010179728917434159)	(96, 1.4830794650530457e-05)	(98, 0.0)	(100, 0.0)
