Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR12885579	2.136145843578438	0.5481197969599707
SRR12885580	1.7789930255379234	0.6306702740588521
SRR12885581	2.824540862327961	0.8569888053928101
SRR12885679_1	1.5050242239984286	0.47460922867499367
SRR12885679_2	1.5576584067715984	4.115382761874945
SRR12885688_1	0.11462990322919946	0.10892392147430165
SRR12885688_2	0.5487628342419536	2.8401524185003826
SRR12885709_1	0.5479143602520099	0.0
SRR12885709_2	0.3347364636992637	0.40432218192088454
