Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR12885579	(1.0, 38.86608280469768)	(2.0, 7.575159339403875)	(3.0, 3.6266401563619466)	(4.0, 2.2885007616968376)	(5.0, 1.5805681752735175)	(6.0, 1.2809654965917567)	(7.0, 1.0004346716683836)	(8.0, 0.8661607285126086)	(9.0, 0.7855283396776886)	('>10', 11.780347936747008)	('>50', 5.556073198141142)	('>100', 12.332225754722119)	('>500', 5.526171398335511)	('>1k', 3.966310129134762)	('>5k', 0.13185459387682255)	('>10k+', 2.8369765151583506)
SRR12885580	(1.0, 42.94184753520666)	(2.0, 8.35073639107494)	(3.0, 3.7536151476615096)	(4.0, 2.2079406455808313)	(5.0, 1.6236595479684441)	(6.0, 1.1942808524059731)	(7.0, 1.0110451882190732)	(8.0, 0.8731472138842664)	(9.0, 0.7525335803943941)	('>10', 11.248579036195208)	('>50', 3.910945803159057)	('>100', 9.458605609204685)	('>500', 3.941029859292413)	('>1k', 5.917734604978024)	('>5k', 0.24616333970266202)	('>10k+', 2.5681356450715827)
SRR12885581	(1.0, 29.775320917509678)	(2.0, 7.689237641230171)	(3.0, 3.7225389931175465)	(4.0, 2.3819365289073784)	(5.0, 1.6181748490236152)	(6.0, 1.3999059636473774)	(7.0, 1.1838857734335941)	(8.0, 0.9853537657308049)	(9.0, 0.7980040680262701)	('>10', 14.098009838266515)	('>50', 5.63042057145116)	('>100', 13.452871607409492)	('>500', 5.628544851567812)	('>1k', 7.425945257909879)	('>5k', 0.3122942980485608)	('>10k+', 3.8975550747200853)
SRR12885679_1	(1.0, 10.848786380535138)	(2.0, 7.946266988264998)	(3.0, 5.576267959326036)	(4.0, 4.0223007200973555)	(5.0, 3.06087018290873)	(6.0, 2.4742054588424973)	(7.0, 2.1073601949503984)	(8.0, 1.758860568663466)	(9.0, 1.4960663181484424)	('>10', 18.89469953985784)	('>50', 5.269804632857234)	('>100', 9.386508859093302)	('>500', 3.818993117194231)	('>1k', 9.298159368044887)	('>5k', 4.013679683910943)	('>10k+', 10.027170027304354)
SRR12885679_2	(1.0, 10.230757970203465)	(2.0, 7.755018791755168)	(3.0, 5.813911440847304)	(4.0, 4.3370875036581955)	(5.0, 3.3671506735390615)	(6.0, 2.7409326511653367)	(7.0, 2.2279760080810918)	(8.0, 1.8649962372824993)	(9.0, 1.6225849519825384)	('>10', 17.758629413270807)	('>50', 4.504292379903063)	('>100', 8.377687136276474)	('>500', 3.78906618594134)	('>1k', 9.954967024523654)	('>5k', 3.770307432960593)	('>10k+', 11.884634198609591)
SRR12885688_1	(1.0, 15.363781243347956)	(2.0, 9.223433104637898)	(3.0, 5.733585990085842)	(4.0, 4.089073757078925)	(5.0, 3.037180546421801)	(6.0, 2.6875548184093)	(7.0, 2.1409414697916826)	(8.0, 1.9157905882711563)	(9.0, 1.6956207162894605)	('>10', 20.92189041327754)	('>50', 6.045012892693786)	('>100', 10.198091681535363)	('>500', 3.6243584603894896)	('>1k', 5.924164246996704)	('>5k', 1.8849872769723557)	('>10k+', 5.5145327938007)
SRR12885688_2	(1.0, 13.131708157625024)	(2.0, 8.91063418445763)	(3.0, 6.3397732219144185)	(4.0, 4.682385070811483)	(5.0, 3.542951019369899)	(6.0, 2.897773454403395)	(7.0, 2.466300375408952)	(8.0, 2.1038817383181496)	(9.0, 1.8208149562676124)	('>10', 20.561782202453156)	('>50', 5.53950812067807)	('>100', 9.262312823764915)	('>500', 3.093210442230175)	('>1k', 5.690457723387808)	('>5k', 2.0845989247964907)	('>10k+', 7.87190758411279)
SRR12885709_1	(1.0, 4.8043456836741765)	(2.0, 5.09509767102194)	(3.0, 5.865813640371501)	(4.0, 5.868660636746744)	(5.0, 5.16347645682229)	(6.0, 4.562689664926504)	(7.0, 3.992295480522324)	(8.0, 3.3105260885101204)	(9.0, 2.8667555754452083)	('>10', 30.086650599752012)	('>50', 7.82207543517995)	('>100', 11.925196310912495)	('>500', 3.108188760537204)	('>1k', 3.7793169339569714)	('>5k', 0.6793646684902591)	('>10k+', 1.0695463931301947)
SRR12885709_2	(1.0, 5.413340119268306)	(2.0, 5.101174892086069)	(3.0, 5.908295657237689)	(4.0, 5.770824256009926)	(5.0, 5.458369865193097)	(6.0, 4.656169997827238)	(7.0, 3.978860254793605)	(8.0, 3.4964799570624616)	(9.0, 2.972624340131242)	('>10', 30.50584783031742)	('>50', 7.25207939643324)	('>100', 10.309253558552948)	('>500', 2.65594391464832)	('>1k', 3.5164276797039906)	('>5k', 0.8494051434435816)	('>10k+', 2.1549031372906575)
