"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000211459",82411.7071067812,-16.8305186475404,1.19915180571901,-14.0353527945938,9.47238711935369e-45,1.20951141485051e-41
"ENSG00000089199",141432.873773448,-17.6097148130391,1.25832891814704,-13.9945244515006,1.68352000933267e-44,2.00002177108721e-41
"ENSG00000080824",99681.3737734478,-17.1049934787402,1.22357939487926,-13.9794716634862,2.08026570748145e-44,2.39412579609772e-41
"ENSG00000110321",48537.2071067812,-16.0667560026349,1.14998237624921,-13.9713062864828,2.33307789846885e-44,2.60371493469124e-41
"ENSG00000150991",49789.0404401145,-16.1034931858436,1.15708782069795,-13.9172609872689,4.97610916645327e-44,5.39000436418062e-41
"ENSG00000109971",51850.8737734479,-16.1620337256736,1.16179599660386,-13.911249283797,5.41257186650327e-44,5.69526276284521e-41
"ENSG00000044574",69663.0404401145,-16.5880612956977,1.19365039845797,-13.8969176545554,6.61283787536431e-44,6.76493314649769e-41
"ENSG00000260032",46389.0404401145,-16.001447817207,1.1540438314919,-13.8655459875566,1.0244361024679e-43,1.01967385896454e-40
"ENSG00000175426",51591.8737734479,-16.1548089559929,1.16577753815117,-13.8575400771687,1.14532482901152e-43,1.11000060007463e-40
"ENSG00000089157",46047.5404401145,-15.9907876577177,1.15598574021842,-13.8330319322939,1.61085115163587e-43,1.52113913365245e-40
"ENSG00000228253",55485.0404401145,-16.2597645851844,1.17597575040362,-13.8266155399919,1.76113678916983e-43,1.62147864178867e-40
"ENSG00000157005",89852.3737734478,-16.9552248285132,1.23023680617442,-13.7820822328001,3.26711014780421e-43,2.93466176886179e-40
"ENSG00000142534",40811.3737734479,-15.8166326675186,1.14896759211799,-13.7659519520149,4.08468104133357e-43,3.5816817473865e-40
"ENSG00000139644",42595.3737734479,-15.8783588183942,1.15384422124122,-13.7612673583558,4.35819256492339e-43,3.73263990188369e-40
"ENSG00000133112",47118.8737734479,-16.0239684671718,1.16656652883863,-13.7360091096771,6.17891165554183e-43,5.17174905568851e-40
"ENSG00000174444",45958.3737734479,-15.9879907781969,1.16472796502516,-13.7268025309682,7.01622246402208e-43,5.74207646455567e-40
"ENSG00000142541",40414.0404401145,-15.8025174626091,1.15442815528185,-13.6886105820513,1.18758421231582e-42,9.50790247199281e-40
"ENSG00000108654",43245.7071067812,-15.9002187671292,1.1637394667648,-13.663039899585,1.68787720494611e-42,1.31658001177231e-39
"ENSG00000150093",38218.7071067812,-15.7219387261819,1.15079235798025,-13.661837965083,1.71597264486452e-42,1.31658001177231e-39
"ENSG00000111897",38702.0404401145,-15.7400695787991,1.15272696330832,-13.6546381578732,1.8942791588851e-42,1.4237247523147e-39
"ENSG00000231500",39206.5404401145,-15.7587544515975,1.15546193689632,-13.6384885978391,2.36409528326478e-42,1.74129802184151e-39
